scheme,load,run,total_arrivals,blocked,dropped,success,total_mapped_vnfs,migrated_vnfs,total_state_mb,migrated_state_mb,predeployment_count,handoff_with_replica,handoff_without_replica,energy_idle_j,energy_load_j,energy_mig_j,energy_total_j,avg_delay_steps
PCM,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,1773575.7349,0.0,0.0,1773575.7349,0.0
PCM,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,1773575.7349,0.0,0.0,1773575.7349,0.0
PCM,0,3,0,0,0,0,0,0,0.0,0.0,0,0,0,1773575.7349,0.0,0.0,1773575.7349,0.0
PCM,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,1773575.7349,0.0,0.0,1773575.7349,0.0
PCM,0,5,0,0,0,0,0,0,0.0,0.0,0,0,0,1773575.7349,0.0,0.0,1773575.7349,0.0
PCM,100,6,199,0,43,156,639,93,5298.1813,958.3487,35,5,23,1773575.7349,90.8869,11.9335,1773678.5553,5.7756
PCM,100,7,200,0,56,144,658,150,5686.7944,1604.7326,27,9,37,1773575.7349,91.5302,19.8373,1773687.1025,5.5694
PCM,100,8,207,0,64,143,701,226,6275.8726,2689.0119,33,13,57,1773575.7349,106.5709,32.7201,1773715.0259,5.4406
PCM,100,9,188,0,48,140,619,89,5462.8447,1107.6914,30,7,20,1773575.7349,100.0397,13.1469,1773688.9216,5.7286
PCM,100,10,222,0,56,166,726,188,6112.3218,2000.0683,37,9,48,1773575.7349,117.5969,24.8907,1773718.2224,5.6205
PCM,200,11,388,0,90,298,1241,203,10594.9351,2274.8925,43,12,50,1773575.7349,174.3049,27.8689,1773777.9087,5.8289
PCM,200,12,402,0,103,299,1311,222,11003.6039,2374.3629,65,23,54,1773575.7349,189.519,29.3736,1773794.6275,5.689
PCM,200,13,438,0,117,321,1437,276,12225.53,3364.3637,78,28,69,1773575.7349,223.3403,40.8236,1773839.8989,5.6044
PCM,200,14,394,0,118,276,1313,321,11483.1328,3763.1696,59,22,82,1773575.7349,206.9082,46.0517,1773828.6948,5.6341
PCM,200,15,404,0,109,295,1318,258,11166.8493,2692.3912,61,16,67,1773575.7349,194.4982,33.7839,1773804.0171,5.5593
PCM,300,16,608,0,173,435,2031,396,17915.2712,4618.3718,89,29,97,1773575.7349,317.8107,56.1737,1773949.7193,5.6046
PCM,300,17,609,0,149,460,1949,453,16293.8813,5494.5473,87,31,115,1773575.7349,271.228,66.7555,1773913.7184,5.6674
PCM,300,18,614,0,148,466,1978,389,16425.0022,4257.1255,97,24,101,1773575.7349,281.1611,52.9113,1773909.8073,5.6824
PCM,300,19,601,0,124,477,1887,331,15229.466,3745.7647,71,24,95,1773575.7349,226.2386,47.1976,1773849.1712,5.9057
PCM,300,20,600,0,176,424,2038,436,17958.5909,5065.1232,112,45,110,1773575.7349,327.1833,62.1012,1773965.0194,5.6934
PCM,400,21,833,0,201,632,2725,542,22948.4715,6134.5569,124,39,137,1773575.7349,425.3458,75.4356,1774076.5163,5.7025
PCM,400,22,900,0,196,704,2890,535,24192.4548,6328.4255,154,53,142,1773575.7349,405.3227,78.0143,1774059.0718,5.6335
PCM,400,23,847,0,234,613,2744,587,23617.7796,7104.7466,132,44,149,1773575.7349,418.7755,86.3875,1774080.8978,5.5563
PCM,400,24,870,0,211,659,2803,543,22916.5328,6221.0684,127,41,133,1773575.7349,388.9441,75.9207,1774040.5997,5.7132
PCM,400,25,802,0,199,603,2579,433,21652.1207,5163.895,132,35,113,1773575.7349,395.6646,63.2889,1774034.6885,5.6998
PCM,500,26,1032,0,275,757,3368,695,29078.3105,7906.6214,180,53,181,1773575.7349,534.7548,97.6962,1774208.1859,5.605
PCM,500,27,1028,0,238,790,3306,597,27628.4349,6545.119,137,39,151,1773575.7349,477.3869,80.9412,1774134.063,5.6696
PCM,500,28,1081,0,274,807,3510,681,29740.0525,7780.3123,176,51,174,1773575.7349,533.5966,95.7131,1774205.0446,5.5985
PCM,500,29,1030,0,269,761,3361,622,29104.1217,7047.9228,177,42,164,1773575.7349,523.5516,87.2992,1774186.5858,5.5756
PCM,500,30,1079,0,256,823,3489,649,29397.2393,7314.2451,162,56,161,1773575.7349,488.5395,89.8025,1774154.0769,5.7375
