scheme,load,run,total_arrivals,blocked,dropped,success,total_mapped_vnfs,migrated_vnfs,total_state_mb,migrated_state_mb,predeployment_count,handoff_with_replica,handoff_without_replica,energy_idle_j,energy_load_j,energy_mig_j,energy_total_j,avg_delay_steps
PCM,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,1768342.1683,0.0,0.0,1768342.1683,0.0
PCM,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,1768342.1683,0.0,0.0,1768342.1683,0.0
PCM,0,3,0,0,0,0,0,0,0.0,0.0,0,0,0,1768342.1683,0.0,0.0,1768342.1683,0.0
PCM,100,4,188,0,39,149,593,82,4942.7797,903.2665,30,10,23,1768342.1683,90.6932,11.4327,1768444.2942,5.3423
PCM,100,5,200,0,45,155,631,96,5053.2163,1023.9584,30,5,23,1768342.1683,94.2125,12.5896,1768448.9704,5.8194
PCM,100,6,199,0,43,156,639,119,5298.1813,1367.926,34,6,28,1768342.1683,100.1269,16.5393,1768458.8345,5.7756
PCM,200,7,445,0,136,309,1486,298,13112.6221,3349.2021,86,25,74,1768342.1683,254.1121,41.142,1768637.4225,5.5761
PCM,200,8,377,0,86,291,1206,249,9775.4798,2799.0376,52,18,62,1768342.1683,158.7743,34.3704,1768535.313,5.5326
PCM,200,9,421,0,105,316,1377,224,11553.0702,2447.7893,59,20,58,1768342.1683,198.9635,30.4779,1768571.6097,5.8608
PCM,300,10,575,0,148,427,1843,392,15394.2775,4478.0867,84,35,101,1768342.1683,265.3282,55.2309,1768662.7274,5.5972
PCM,300,11,603,0,146,457,1946,293,16814.1508,3408.2137,94,35,76,1768342.1683,296.8698,42.0321,1768681.0703,5.7615
PCM,300,12,619,0,160,459,2024,417,17341.8971,4689.6968,105,41,105,1768342.1683,328.1054,57.807,1768728.0807,5.7647
PCM,400,13,869,0,224,645,2844,594,23988.5677,6749.5011,144,54,151,1768342.1683,425.2629,83.135,1768850.5662,5.7674
PCM,400,14,811,0,222,589,2667,515,22755.4614,6008.6983,128,44,129,1768342.1683,405.6011,73.427,1768821.1964,5.6265
PCM,400,15,836,0,217,619,2727,532,22833.4621,6054.583,142,48,132,1768342.1683,395.5522,74.2258,1768811.9463,5.5541
PCM,500,16,1029,0,263,766,3377,753,29288.5678,8359.1741,153,42,189,1768342.1683,519.2711,102.9117,1768964.3512,5.6201
PCM,500,17,1033,0,259,774,3350,663,27476.5413,7584.7587,161,59,176,1768342.1683,468.1992,94.0376,1768904.4051,5.7313
PCM,500,18,1030,0,257,773,3322,696,27797.7882,7753.4385,172,56,181,1768342.1683,524.2017,96.1944,1768962.5644,5.5821
PCM,600,19,1182,0,270,912,3769,593,30677.9723,6642.0756,165,63,150,1768342.1683,530.8898,82.0508,1768955.1089,5.7368
PCM,600,20,1191,0,321,870,3962,794,34218.1044,9168.4387,197,69,191,1768342.1683,627.2799,111.4744,1769080.9226,5.6943
PCM,600,21,1279,0,321,958,4180,997,34827.2863,10760.5189,198,64,260,1768342.1683,629.7116,134.2452,1769106.1251,5.7171
PCM,700,22,1548,0,347,1201,4982,991,41450.5304,10987.9105,257,87,261,1768342.1683,734.7111,136.8491,1769213.7286,5.6653
PCM,700,23,1491,0,389,1102,4828,1035,41390.6781,12016.9268,239,87,269,1768342.1683,739.5261,147.9393,1769229.6337,5.6152
PCM,700,24,1481,0,383,1098,4823,1024,40481.9216,11856.669,232,90,270,1768342.1683,740.0877,146.4667,1769228.7228,5.7432
PCM,800,25,1643,0,422,1221,5295,1101,44530.6427,12776.9408,258,85,280,1768342.1683,817.5317,156.6194,1769316.3194,5.7428
PCM,800,26,1601,0,436,1165,5254,963,45486.8038,10981.6977,265,88,252,1768342.1683,843.5738,135.897,1769321.6391,5.679
PCM,800,27,1664,0,391,1273,5342,947,44505.143,10531.9608,246,93,242,1768342.1683,769.6002,130.4496,1769242.2181,5.6991
