scheme,load,run,total_arrivals,blocked,dropped,success,total_mapped_vnfs,migrated_vnfs,total_state_mb,migrated_state_mb,energy_idle_j,energy_load_j,energy_mig_j,energy_total_j
RCM,0,1,0,0,0,0,0,0,0.0,0.0,1459680.0,0.0,0.0,1459680.0
RCM,0,2,0,0,0,0,0,0,0.0,0.0,1459680.0,0.0,0.0,1459680.0
RCM,0,3,0,0,0,0,0,0,0.0,0.0,1459680.0,0.0,0.0,1459680.0
RCM,100,4,10312,5,6082,4225,33303,16599,280655.5459,157016.9386,1459680.0,18490.6482,2112.5694,1480283.2176
RCM,100,5,10508,4,6299,4205,34213,17403,289492.9615,162035.0362,1459680.0,19114.1653,2188.1504,1480982.3156
RCM,100,6,10272,4,6192,4076,33480,17103,283886.0972,157648.2134,1459680.0,18760.5007,2136.7821,1480577.2829
RCM,200,7,20728,40,12460,8228,67126,35238,567407.1435,338361.9837,1459680.0,42225.2972,4520.2198,1506425.517
RCM,200,8,20682,36,12348,8298,67204,34902,573730.0306,338413.5483,1459680.0,42414.0329,4510.1355,1506604.1684
RCM,200,9,20827,47,12449,8331,67878,35506,577035.7405,339962.5127,1459680.0,43031.5568,4548.6251,1507260.1819
RCM,300,10,30985,117,18363,12505,99929,53473,840197.7917,522295.4068,1459680.0,68653.3462,6937.2541,1535270.6003
RCM,300,11,30915,131,18278,12506,100075,54763,847594.9033,540174.8311,1459680.0,69947.9449,7144.0483,1536771.9932
RCM,300,12,30996,121,18404,12471,100193,55436,847135.5803,543306.6686,1459680.0,69672.9226,7208.8667,1536561.7893
RCM,400,13,40884,271,24288,16325,131854,78251,1112285.4313,789276.5575,1459680.0,100441.6717,10345.9656,1570467.6373
RCM,400,14,41571,300,24533,16738,133608,77682,1126663.9039,782879.9902,1459680.0,101421.2608,10278.7999,1571380.0607
RCM,400,15,41311,291,24331,16689,132634,77286,1112851.1088,768387.2646,1459680.0,99679.4899,10132.5726,1569492.0625
RCM,500,16,51269,594,30127,20548,164067,102884,1380972.8467,1041332.7027,1459680.0,134364.9029,13654.927,1607699.8299
RCM,500,17,51748,647,30344,20757,165565,104427,1393197.6346,1063353.8165,1459680.0,136873.2955,13880.8382,1610434.1337
RCM,500,18,51519,597,30177,20745,164645,102903,1384881.8326,1041819.8961,1459680.0,135749.0113,13643.099,1609072.1103
RCM,600,19,62188,1089,36013,25086,196946,131616,1647800.3551,1342938.7225,1459680.0,174301.7808,17519.4872,1651501.268
RCM,600,20,61643,1127,35605,24911,195427,131745,1638445.9827,1345450.0425,1459680.0,172289.0683,17549.2004,1649518.2687
RCM,600,21,61747,1095,35864,24788,196157,131401,1647774.5808,1340008.5218,1459680.0,173490.6148,17491.5852,1650662.2
RCM,700,22,72673,1898,41698,29077,228015,165081,1903522.1907,1685680.2511,1459680.0,214918.3639,22014.2025,1696612.5664
RCM,700,23,72644,1813,41573,29258,228390,163600,1912099.0149,1684459.7218,1459680.0,215430.58,21916.7972,1697027.3772
RCM,700,24,71867,1844,41044,28979,225513,161554,1881851.4989,1649015.9789,1459680.0,211271.6249,21536.3598,1692487.9847
RCM,800,25,82485,2955,46752,32778,255882,196581,2135250.3649,2012225.4532,1459680.0,254114.1514,26264.8545,1740059.0059
RCM,800,26,82571,2844,46609,33118,256387,197265,2136169.4335,2013194.7812,1459680.0,254544.5405,26307.8478,1740532.3883
RCM,800,27,82248,2806,46275,33167,254922,195627,2123635.0,1997887.525,1459680.0,253000.4553,26086.3753,1738766.8306
