scheme,load,run,total_arrivals,blocked,dropped,success,total_mapped_vnfs,migrated_vnfs,total_state_mb,migrated_state_mb,split_count,energy_idle_j,energy_load_j,energy_mig_j,energy_total_j,avg_delay_steps
SCM,0,1,0,0,0,0,0,0,0.0,0.0,0,1761609.4917,0.0,0.0,1761609.4917,0.0
SCM,0,2,0,0,0,0,0,0,0.0,0.0,0,1761609.4917,0.0,0.0,1761609.4917,0.0
SCM,0,3,0,0,0,0,0,0,0.0,0.0,0,1761609.4917,0.0,0.0,1761609.4917,0.0
SCM,0,4,0,0,0,0,0,0,0.0,0.0,0,1761609.4917,0.0,0.0,1761609.4917,0.0
SCM,0,5,0,0,0,0,0,0,0.0,0.0,0,1761609.4917,0.0,0.0,1761609.4917,0.0
SCM,100,6,199,0,43,156,639,132,5298.1813,1426.5733,0,1761609.4917,80.3422,17.4657,1761707.2995,5.7756
SCM,100,7,200,0,56,144,658,267,5686.7944,2958.0729,0,1761609.4917,95.7108,36.3807,1761741.5832,5.5694
SCM,100,8,207,0,64,143,701,232,6275.8726,2561.037,0,1761609.4917,93.9207,31.8104,1761735.2228,5.4406
SCM,100,9,188,0,48,140,619,130,5462.8447,1405.9111,0,1761609.4917,84.0657,17.1591,1761710.7164,5.7286
SCM,100,10,222,0,56,166,726,185,6112.3218,1801.7734,0,1761609.4917,94.3329,23.1177,1761726.9423,5.6205
SCM,200,11,388,0,90,298,1241,324,10594.9351,3811.0523,0,1761609.4917,157.2112,45.9105,1761812.6134,5.8289
SCM,200,12,402,0,103,299,1311,465,11003.6039,5098.763,0,1761609.4917,182.0437,62.5876,1761854.1229,5.689
SCM,200,13,438,0,117,321,1437,504,12225.53,5841.0349,0,1761609.4917,207.6552,70.8103,1761887.9572,5.6044
SCM,200,14,394,0,118,276,1313,467,11483.1328,5211.1924,0,1761609.4917,185.6398,64.0119,1761859.1433,5.6341
SCM,200,15,404,0,109,295,1318,351,11166.8493,3649.775,0,1761609.4917,176.5623,45.2978,1761831.3517,5.5593
SCM,300,16,608,0,173,435,2031,629,17915.2712,7265.4154,0,1761609.4917,290.0277,87.8542,1761987.3736,5.6046
SCM,300,17,609,0,149,460,1949,639,16293.8813,7450.4132,0,1761609.4917,255.8577,90.1041,1761955.4535,5.6674
SCM,300,18,614,0,148,466,1978,659,16425.0022,7171.0448,0,1761609.4917,272.9846,88.2104,1761970.6867,5.6824
SCM,300,19,601,0,124,477,1887,504,15229.466,5573.5527,0,1761609.4917,223.3444,69.1355,1761901.9715,5.9057
SCM,300,20,600,0,176,424,2038,660,17958.5909,7434.3322,0,1761609.4917,281.2756,90.6433,1761981.4106,5.6934
SCM,400,21,833,0,201,632,2725,748,22948.4715,8282.2206,0,1761609.4917,372.1809,101.9222,1762083.5947,5.7025
SCM,400,22,900,0,196,704,2890,874,24192.4548,10255.8171,0,1761609.4917,385.5745,124.8582,1762119.9244,5.6335
SCM,400,23,847,0,234,613,2744,849,23617.7796,9899.1793,0,1761609.4917,363.5725,120.0918,1762093.1559,5.5563
SCM,400,24,870,0,211,659,2803,825,22916.5328,9241.18,0,1761609.4917,355.2799,112.8118,1762077.5833,5.7132
SCM,400,25,802,0,199,603,2579,732,21652.1207,8425.5546,0,1761609.4917,338.4138,102.3555,1762050.261,5.6998
