scheme,load,run,total_arrivals,blocked,dropped,success,total_mapped_vnfs,migrated_vnfs,total_state_mb,migrated_state_mb,split_count,energy_idle_j,energy_load_j,energy_mig_j,energy_total_j,avg_delay_steps
SCM,0,1,0,0,0,0,0,0,0.0,0.0,0,1718148.0632,0.0,0.0,1718148.0632,0.0
SCM,0,2,0,0,0,0,0,0,0.0,0.0,0,1718148.0632,0.0,0.0,1718148.0632,0.0
SCM,0,3,0,0,0,0,0,0,0.0,0.0,0,1718148.0632,0.0,0.0,1718148.0632,0.0
SCM,100,4,188,0,39,149,593,169,4942.7797,1854.0953,0,1718148.0632,80.1298,22.941,1718251.134,5.3423
SCM,100,5,200,0,45,155,631,116,5053.2163,1235.7165,0,1718148.0632,83.2371,15.1572,1718246.4575,5.8194
SCM,100,6,199,0,43,156,639,152,5298.1813,1580.9769,0,1718148.0632,86.6119,19.6098,1718254.2849,5.7756
SCM,200,7,445,0,136,309,1486,496,13112.6221,5562.5937,0,1718148.0632,246.4674,67.5259,1718462.0566,5.5761
SCM,200,8,377,0,86,291,1206,380,9775.4798,4118.9026,0,1718148.0632,167.6914,50.589,1718366.3436,5.5326
SCM,200,9,421,0,105,316,1377,375,11553.0702,3916.9546,0,1718148.0632,202.1907,48.9695,1718399.2235,5.8608
SCM,300,10,575,0,148,427,1843,600,15394.2775,6416.1689,0,1718148.0632,270.0943,79.3617,1718497.5193,5.5972
SCM,300,11,603,0,146,457,1946,526,16814.1508,5898.7245,0,1718148.0632,281.3385,72.4872,1718501.889,5.7615
SCM,300,12,619,0,160,459,2024,693,17341.8971,7781.6951,0,1718148.0632,311.3751,94.917,1718554.3552,5.7647
SCM,400,13,869,0,224,645,2844,896,23988.5677,9873.1528,0,1718148.0632,418.2763,121.2315,1718687.571,5.7674
SCM,400,14,811,0,222,589,2667,841,22755.4614,9584.0271,0,1718148.0632,410.1934,116.4403,1718674.6969,5.6265
SCM,400,15,836,0,217,619,2727,835,22833.4621,9296.5873,0,1718148.0632,384.6896,113.8659,1718646.6187,5.5541
SCM,500,16,1029,0,263,766,3377,1139,29288.5678,12852.1315,0,1718148.0632,509.3552,156.3213,1718813.7397,5.6201
SCM,500,17,1033,0,259,774,3350,1069,27476.5413,11969.5901,0,1718148.0632,478.7101,147.2959,1718774.0692,5.7313
SCM,500,18,1030,0,257,773,3322,1107,27797.7882,11996.3587,0,1718148.0632,505.4297,148.5636,1718802.0565,5.5821
SCM,600,19,1182,0,270,912,3769,916,30677.9723,9822.2997,0,1718148.0632,515.187,121.723,1718784.9732,5.7368
SCM,600,20,1191,0,321,870,3962,1220,34218.1044,13532.1226,0,1718148.0632,604.8292,164.9212,1718917.8136,5.6943
SCM,600,21,1279,0,321,958,4180,1423,34827.2863,15299.1326,0,1718148.0632,622.2812,189.7913,1718960.1357,5.7171
SCM,700,22,1548,0,347,1201,4982,1515,41450.5304,16684.1932,0,1718148.0632,699.2429,206.2419,1719053.5481,5.6653
SCM,700,23,1491,0,389,1102,4828,1569,41390.6781,17244.885,0,1718148.0632,714.9132,212.8488,1719075.8253,5.6152
SCM,700,24,1481,0,383,1098,4823,1692,40481.9216,19015.8497,0,1718148.0632,739.5163,233.2585,1719120.838,5.7432
SCM,800,25,1643,0,422,1221,5295,1739,44530.6427,19771.7918,0,1718148.0632,792.5468,241.4179,1719182.028,5.7428
SCM,800,26,1601,0,436,1165,5254,1602,45486.8038,18281.3531,0,1718148.0632,790.1392,223.3135,1719161.516,5.679
SCM,800,27,1664,0,391,1273,5342,1552,44505.143,16896.9478,0,1718148.0632,759.7489,207.7695,1719115.5816,5.6991
