scheme,load,run,total_arrivals,blocked,dropped,success,total_mapped_vnfs,migrated_vnfs,total_state_mb,migrated_state_mb,energy_idle_j,energy_load_j,energy_mig_j,energy_total_j
UCM,0,1,0,0,0,0,0,0,0.0,0.0,1459680.0,0.0,0.0,1459680.0
UCM,0,2,0,0,0,0,0,0,0.0,0.0,1459680.0,0.0,0.0,1459680.0
UCM,0,3,0,0,0,0,0,0,0.0,0.0,1459680.0,0.0,0.0,1459680.0
UCM,100,4,10312,8,6079,4225,33289,24109,280460.8469,225608.6135,1459680.0,31930.5031,2920.9861,1494531.4893
UCM,100,5,10508,13,6290,4205,34171,24899,288967.1739,230338.0136,1459680.0,32892.9358,2985.6801,1495558.616
UCM,100,6,10272,12,6185,4075,33443,24734,283453.5164,226924.2937,1459680.0,32421.6203,2951.0429,1495052.6633
UCM,200,7,20728,84,12416,8228,66923,52177,565082.9979,505040.6229,1459680.0,73564.9975,6441.7062,1539686.7037
UCM,200,8,20682,78,12307,8297,67018,51785,571515.7721,504552.8798,1459680.0,73857.4194,6426.7288,1539964.1482
UCM,200,9,20827,101,12396,8330,67636,51978,574133.4395,501732.9154,1459680.0,74660.6063,6403.8292,1540744.4355
UCM,300,10,30985,255,18225,12505,99312,81301,832883.9188,801864.0672,1459680.0,119830.4375,10163.3407,1589673.7782
UCM,300,11,30915,290,18122,12503,99379,82383,839566.2791,820239.8581,1459680.0,122298.5429,10361.7986,1592340.3415
UCM,300,12,30996,283,18246,12467,99472,83403,838665.6191,824413.4187,1459680.0,121664.4155,10446.3342,1591790.7497
UCM,400,13,40884,645,23938,16301,130246,120187,1093694.6244,1208358.3693,1459680.0,174500.9975,15205.3837,1649386.3812
UCM,400,14,41571,694,24153,16724,131896,119658,1106242.4629,1205188.9466,1459680.0,177056.6018,15169.9895,1651906.5913
UCM,400,15,41311,653,23988,16670,131061,118061,1095103.6322,1179464.6565,1459680.0,173375.1534,14876.7466,1647931.8999
UCM,500,16,51269,1290,29481,20498,161077,159220,1346625.3346,1606188.8564,1459680.0,232488.2354,20208.6886,1712376.9239
UCM,500,17,51748,1408,29627,20713,162246,162107,1355303.6054,1639271.2833,1459680.0,236086.4228,20580.9128,1716347.3356
UCM,500,18,51519,1329,29486,20704,161522,160845,1349491.8444,1617616.3602,1459680.0,235253.9289,20364.6636,1715298.5925
UCM,600,19,62188,2432,34799,24957,191336,203057,1585675.7136,2034720.3457,1459680.0,297820.8799,25637.3035,1783138.1834
UCM,600,20,61643,2427,34418,24798,189937,202519,1576765.665,2032667.8407,1459680.0,294381.9656,25595.0784,1779657.044
UCM,600,21,61747,2413,34652,24682,190663,202385,1587017.9587,2037504.0281,1459680.0,296055.3862,25639.5403,1781374.9265
UCM,700,22,72673,4006,39751,28916,219163,248114,1805246.1344,2465740.2565,1459680.0,361647.4724,31171.1026,1852498.5749
UCM,700,23,72644,3874,39698,29072,219773,252244,1816066.7614,2515771.4846,1459680.0,362732.064,31758.7148,1854170.7789
UCM,700,24,71867,3771,39280,28816,217424,248762,1791206.6346,2468264.533,1459680.0,357826.0465,31212.6453,1848718.6918
UCM,800,25,82485,5911,44074,32500,243629,295617,1999902.1881,2902861.3312,1459680.0,423162.9511,36837.5133,1919680.4644
UCM,800,26,82571,5817,43917,32837,244042,295727,1999763.4866,2897460.0412,1459680.0,423954.9581,36797.5004,1920432.4585
UCM,800,27,82248,5795,43595,32858,242661,295427,1988934.5853,2903295.4094,1459680.0,419756.0495,36842.5541,1916278.6035
