scheme,load,run,total_arrivals,blocked,dropped,success,total_mapped_vnfs,migrated_vnfs,total_state_mb,migrated_state_mb,energy_idle_j,energy_load_j,energy_mig_j,energy_total_j,avg_delay_steps
UCM,0,1,0,0,0,0,0,0,0.0,0.0,1800354.3471,0.0,0.0,1800354.3471,0.0
UCM,0,2,0,0,0,0,0,0,0.0,0.0,1800354.3471,0.0,0.0,1800354.3471,0.0
UCM,0,3,0,0,0,0,0,0,0.0,0.0,1800354.3471,0.0,0.0,1800354.3471,0.0
UCM,0,4,0,0,0,0,0,0,0.0,0.0,1800354.3471,0.0,0.0,1800354.3471,0.0
UCM,0,5,0,0,0,0,0,0,0.0,0.0,1800354.3471,0.0,0.0,1800354.3471,0.0
UCM,100,6,199,0,43,156,639,317,5298.1813,3565.9843,1800354.3471,174.8849,42.6598,1800571.8918,5.7756
UCM,100,7,200,0,56,144,658,388,5686.7944,4671.9739,1800354.3471,216.9924,55.4197,1800626.7592,5.5694
UCM,100,8,207,0,64,143,701,530,6275.8726,6362.2708,1800354.3471,256.7591,75.1227,1800686.2289,5.4406
UCM,100,9,188,0,48,140,619,246,5462.8447,2985.319,1800354.3471,205.7728,35.1532,1800595.273,5.7286
UCM,100,10,222,0,56,166,726,323,6112.3218,3488.6186,1800354.3471,211.6463,42.1862,1800608.1795,5.6205
UCM,200,11,388,0,90,298,1241,632,10594.9351,8077.0785,1800354.3471,404.5819,94.1708,1800853.0998,5.8289
UCM,200,12,402,0,103,299,1311,828,11003.6039,9348.7633,1800354.3471,426.1049,111.7876,1800892.2396,5.689
UCM,200,13,438,0,117,321,1437,784,12225.53,9675.02,1800354.3471,465.0093,113.8502,1800933.2065,5.6044
UCM,200,14,394,0,118,276,1313,897,11483.1328,10883.4144,1800354.3471,461.114,128.7341,1800944.1952,5.6341
UCM,200,15,404,0,109,295,1318,533,11166.8493,5874.1367,1800354.3471,424.5475,70.8414,1800849.7359,5.5593
UCM,300,16,608,0,173,435,2031,1128,17915.2712,13567.5158,1800354.3471,700.7044,160.0752,1801215.1266,5.6046
UCM,300,17,609,0,149,460,1949,1142,16293.8813,13777.9231,1800354.3471,601.1891,162.6792,1801118.2154,5.6674
UCM,300,18,614,0,148,466,1978,1193,16425.0022,13470.8017,1800354.3471,628.023,161.008,1801143.3781,5.6824
UCM,300,19,601,0,124,477,1887,791,15229.466,8630.427,1800354.3471,520.296,104.6043,1800979.2474,5.9057
UCM,300,20,600,0,176,424,2038,1394,17958.5909,16426.2236,1800354.3471,708.6713,194.5622,1801257.5806,5.6934
UCM,400,21,833,0,201,632,2725,1374,22948.4715,15885.8633,1800354.3471,871.1152,189.7586,1801415.2209,5.7025
UCM,400,22,900,0,196,704,2890,1576,24192.4548,18395.0439,1800354.3471,906.5743,219.3504,1801480.2718,5.6335
UCM,400,23,847,0,234,613,2744,1606,23617.7796,19102.8796,1800354.3471,856.4339,226.1288,1801436.9098,5.5563
UCM,400,24,870,0,211,659,2803,1485,22916.5328,17301.2758,1800354.3471,834.929,205.2128,1801394.4889,5.7132
UCM,400,25,802,0,199,603,2579,1245,21652.1207,14585.0624,1800354.3471,821.0028,173.3506,1801348.7005,5.6998
UCM,500,26,1032,0,275,757,3368,2014,29078.3105,24074.5026,1800354.3471,1143.0761,285.745,1801783.1682,5.605
UCM,500,27,1028,0,238,790,3306,1450,27628.4349,16438.9786,1800354.3471,1025.0524,196.7898,1801576.1892,5.6696
UCM,500,28,1081,0,274,807,3510,1874,29740.0525,21851.8345,1800354.3471,1098.9704,260.1183,1801713.4358,5.5985
UCM,500,29,1030,0,269,761,3361,1894,29104.1217,22368.3569,1800354.3471,1095.1757,265.9836,1801715.5063,5.5756
UCM,500,30,1079,0,256,823,3489,1873,29397.2393,22147.675,1800354.3471,1102.249,262.4768,1801719.0728,5.7375
UCM,600,31,1209,0,311,898,3964,2053,33641.8503,23936.0141,1800354.3471,1308.3714,284.1601,1801946.8787,5.6548
UCM,600,32,1251,0,301,950,4106,2479,35380.182,28733.119,1800354.3471,1355.2496,341.6312,1802051.2279,5.6021
UCM,600,33,1295,0,317,978,4204,2246,35278.6713,26356.4238,1800354.3471,1310.4432,312.7642,1801977.5545,5.7301
UCM,600,34,1282,0,306,976,4139,2373,34695.9541,26843.0625,1800354.3471,1333.8843,321.2306,1802009.462,5.6465
UCM,600,35,1237,0,354,883,4031,2080,35035.4959,23782.8795,1800354.3471,1335.6242,284.2288,1801974.2,5.6421
UCM,700,36,1410,0,381,1029,4628,2368,39655.5135,27205.1906,1800354.3471,1441.9069,324.4519,1802120.7059,5.7454
UCM,700,37,1471,0,351,1120,4790,2814,40244.882,32040.0121,1800354.3471,1518.3965,382.9001,1802255.6437,5.6
UCM,700,38,1459,0,372,1087,4743,2615,39345.0552,30079.2011,1800354.3471,1472.5183,358.092,1802184.9574,5.7452
UCM,700,39,1449,0,362,1087,4705,2319,39072.8128,26243.2264,1800354.3471,1506.4373,314.0323,1802174.8166,5.6467
UCM,700,40,1495,0,364,1131,4798,2622,40239.7004,29829.6752,1800354.3471,1471.0339,357.4968,1802182.8777,5.5995
UCM,800,41,1690,0,429,1261,5524,2841,47345.0164,32473.3664,1800354.3471,1768.7191,388.0337,1802511.0998,5.755
UCM,800,42,1677,0,449,1228,5513,2803,47327.2878,31735.4988,1800354.3471,1830.0814,379.555,1802563.9835,5.6873
UCM,800,43,1568,0,400,1168,5083,2865,42863.2271,33006.9822,1800354.3471,1617.519,393.9698,1802365.8359,5.6926
UCM,800,44,1694,0,430,1264,5516,3369,46914.7325,39683.5088,1800354.3471,1726.9203,470.8351,1802552.1024,5.6994
UCM,800,45,1675,0,417,1258,5392,3021,45145.706,34392.6988,1800354.3471,1746.3705,410.227,1802510.9446,5.5477
UCM,900,46,1847,0,474,1373,6005,3682,50419.0132,43237.8684,1800354.3471,1947.1502,513.6787,1802815.1759,5.6883
UCM,900,47,1892,0,469,1423,6110,3687,51596.0242,42135.9155,1800354.3471,1943.0318,503.1592,1802800.538,5.5657
UCM,900,48,1889,0,475,1414,6176,3650,52096.6243,42563.3062,1800354.3471,2009.5083,505.3331,1802869.1885,5.6351
UCM,900,49,1919,0,476,1443,6244,3641,52896.5035,41700.0422,1800354.3471,2032.0225,496.8004,1802883.17,5.6403
UCM,900,50,1896,0,524,1372,6229,3722,52972.9283,43048.8923,1800354.3471,2080.462,512.6889,1802947.498,5.6465
UCM,1000,51,2020,0,510,1510,6496,4022,54408.6828,47272.7185,1800354.3471,2051.4183,561.4272,1802967.1926,5.6278
UCM,1000,52,2032,0,519,1513,6644,3905,56641.0495,45620.1087,1800354.3471,2161.5681,541.9011,1803057.8162,5.6999
UCM,1000,53,2176,0,546,1630,7089,4001,60175.2653,45750.6796,1800354.3471,2230.1306,546.9068,1803131.3844,5.673
UCM,1000,54,2082,0,521,1561,6715,3978,57202.2457,45757.0408,1800354.3471,2130.3711,546.4704,1803031.1886,5.6438
UCM,1000,55,2131,0,537,1594,6890,3949,58662.3213,45162.0599,1800354.3471,2167.8386,540.1206,1803062.3062,5.623
