scheme,load,run,total_arrivals,blocked,dropped,success,total_mapped_vnfs,migrated_vnfs,total_state_mb,migrated_state_mb,energy_idle_j,energy_load_j,energy_mig_j,energy_total_j,avg_delay_steps
UCM,0,1,0,0,0,0,0,0,0.0,0.0,1722856.5848,0.0,0.0,1722856.5848,0.0
UCM,0,2,0,0,0,0,0,0,0.0,0.0,1722856.5848,0.0,0.0,1722856.5848,0.0
UCM,0,3,0,0,0,0,0,0,0.0,0.0,1722856.5848,0.0,0.0,1722856.5848,0.0
UCM,100,4,188,0,39,149,593,449,4942.7797,5264.984,1722856.5848,200.6319,62.4498,1723119.6666,5.3423
UCM,100,5,200,0,45,155,631,246,5053.2163,2779.1583,1722856.5848,206.579,33.2916,1723096.4555,5.8194
UCM,100,6,199,0,43,156,639,374,5298.1813,4186.9673,1722856.5848,215.0003,50.1697,1723121.7548,5.7756
UCM,200,7,445,0,136,309,1486,921,13112.6221,11540.6465,1722856.5848,570.6673,135.5065,1723562.7586,5.5761
UCM,200,8,377,0,86,291,1206,731,9775.4798,8804.8629,1722856.5848,411.9538,103.9486,1723372.4873,5.5326
UCM,200,9,421,0,105,316,1377,878,11553.0702,10049.2443,1722856.5848,499.0984,119.8924,1723475.5757,5.8608
UCM,300,10,575,0,148,427,1843,1027,15394.2775,11804.6104,1722856.5848,628.0785,140.4461,1723625.1094,5.5972
UCM,300,11,603,0,146,457,1946,1383,16814.1508,16384.4776,1722856.5848,701.1171,193.9448,1723751.6468,5.7615
UCM,300,12,619,0,160,459,2024,1370,17341.8971,16052.1833,1722856.5848,745.7511,190.4218,1723792.7577,5.7647
UCM,400,13,869,0,224,645,2844,2031,23988.5677,23664.5764,1722856.5848,1063.1213,281.3458,1724201.0519,5.7674
UCM,400,14,811,0,222,589,2667,1718,22755.4614,19827.2204,1722856.5848,1002.2869,235.4722,1724094.3439,5.6265
UCM,400,15,836,0,217,619,2727,1673,22833.4621,18945.7351,1722856.5848,1002.1,226.0574,1724084.7422,5.5541
UCM,500,16,1029,0,263,766,3377,2354,29288.5678,27606.0749,1722856.5848,1294.2568,327.0607,1724477.9024,5.6201
UCM,500,17,1033,0,259,774,3350,2324,27476.5413,26966.5013,1722856.5848,1200.2343,320.165,1724376.9841,5.7313
UCM,500,18,1030,0,257,773,3322,2474,27797.7882,28715.2586,1722856.5848,1216.7024,341.7526,1724415.0398,5.5821
UCM,600,19,1182,0,270,912,3769,2141,30677.9723,25448.0869,1722856.5848,1294.5055,300.5809,1724451.6712,5.7368
UCM,600,20,1191,0,321,870,3962,2573,34218.1044,31017.4456,1722856.5848,1518.2508,365.2745,1724740.1101,5.6943
UCM,600,21,1279,0,321,958,4180,2849,34827.2863,32469.5353,1722856.5848,1535.1961,388.3954,1724780.1763,5.7171
UCM,700,22,1548,0,347,1201,4982,3382,41450.5304,39909.6425,1722856.5848,1786.7861,473.4964,1725116.8674,5.6653
UCM,700,23,1491,0,389,1102,4828,3595,41390.6781,41933.2075,1722856.5848,1832.4086,497.9321,1725186.9255,5.6152
UCM,700,24,1481,0,383,1098,4823,3129,40481.9216,36461.5461,1722856.5848,1736.9482,434.0155,1725027.5485,5.7432
UCM,800,25,1643,0,422,1221,5295,3502,44530.6427,41714.5615,1722856.5848,1924.807,494.0456,1725275.4374,5.7428
UCM,800,26,1601,0,436,1165,5254,3439,45486.8038,39742.7636,1722856.5848,2002.4715,472.5276,1725331.5839,5.679
UCM,800,27,1664,0,391,1273,5342,3491,44505.143,41086.1212,1722856.5848,1882.701,487.1612,1725226.4471,5.6991
